x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y
44,technician,married,professional,yes,no,jul,cell,663,1,999,0,1.4,93.918,-42.7,4.961,5228.1,FALSE
31,technician,single,professional,no,no,aug,cell,449,1,999,0,1.4,93.444,-36.1,4.964,5228.1,FALSE
36,services,single,high,no,no,may,phone,45,9,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
33,blue-collar,married,high,yes,no,may,cell,26,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,FALSE
36,technician,single,university,no,no,may,phone,86,1,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
45,admin,married,university,no,no,aug,phone,58,3,999,0,1.4,93.444,-36.1,4.962,5228.1,FALSE
33,admin,divorced,university,unknown,unknown,may,phone,213,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,FALSE
34,management,married,university,yes,no,mar,cell,225,5,999,0,-1.8,92.843,-50,1.799,5099.1,FALSE
30,blue-collar,single,middle,yes,yes,may,phone,225,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
45,technician,divorced,professional,yes,yes,nov,cell,136,1,999,1,-0.1,93.2,-42,4.12,5195.8,FALSE
33,technician,single,professional,no,no,sep,cell,425,1,999,0,-1.1,94.199,-37.5,0.886,4963.6,FALSE
43,admin,single,university,no,no,aug,cell,99,5,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
36,blue-collar,married,middle,yes,no,nov,cell,499,3,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
35,unemployed,married,university,no,no,jun,phone,360,2,999,0,1.4,94.465,-41.8,4.967,5228.1,FALSE
34,housemaid,married,unknown,yes,no,aug,cell,314,2,999,0,1.4,93.444,-36.1,4.964,5228.1,FALSE
56,retired,married,university,yes,no,nov,cell,968,2,3,3,-3.4,92.649,-30.1,0.716,5017.5,TRUE
53,admin,divorced,high,yes,no,may,phone,64,4,999,0,1.1,93.994,-36.4,4.855,5191,FALSE
27,services,single,university,yes,no,apr,cell,384,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,FALSE
32,management,married,high,yes,yes,may,phone,62,4,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
35,technician,married,professional,yes,no,nov,cell,115,2,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
36,admin,single,university,no,no,mar,cell,409,1,999,0,-1.8,93.369,-34.8,0.652,5008.7,TRUE
30,technician,single,professional,no,no,sep,cell,275,1,999,5,-1.1,94.199,-37.5,0.877,4963.6,FALSE
24,student,single,primary,unknown,unknown,jul,cell,230,1,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
48,unemployed,married,high,yes,no,apr,cell,370,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,FALSE
30,technician,single,high,yes,no,aug,phone,176,3,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
38,blue-collar,married,middle,yes,no,may,phone,160,3,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
52,admin,single,high,no,no,jul,phone,9,1,999,1,-1.7,94.215,-40.3,0.793,4991.6,FALSE
38,technician,single,university,no,no,may,phone,137,1,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
34,technician,single,university,yes,no,mar,cell,171,4,999,0,-1.8,92.843,-50,1.52,5099.1,FALSE
39,blue-collar,married,middle,yes,no,may,phone,183,2,999,0,1.1,93.994,-36.4,4.859,5191,FALSE
60,retired,married,high,no,no,may,cell,512,3,999,0,-1.8,92.893,-46.2,1.266,5099.1,FALSE
29,admin,married,university,no,no,aug,cell,108,1,999,0,1.4,93.444,-36.1,4.968,5228.1,FALSE
36,admin,single,primary,yes,no,may,phone,125,2,999,1,-1.8,92.893,-46.2,1.334,5099.1,FALSE
34,blue-collar,married,primary,no,no,jun,phone,61,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
44,blue-collar,married,middle,yes,no,may,phone,33,4,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
42,admin,single,high,yes,no,nov,cell,86,1,999,1,-0.1,93.2,-42,4.191,5195.8,FALSE
21,student,single,middle,no,no,mar,cell,363,1,6,1,-1.8,93.369,-34.8,0.655,5008.7,TRUE
45,technician,divorced,professional,unknown,unknown,aug,cell,170,3,999,0,1.4,93.444,-36.1,4.964,5228.1,FALSE
32,admin,single,university,yes,no,apr,cell,358,2,999,0,-1.8,93.749,-34.6,0.635,5008.7,TRUE
44,blue-collar,single,primary,yes,no,jun,phone,67,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
33,blue-collar,married,primary,yes,yes,may,cell,686,2,999,0,-1.8,92.893,-46.2,1.334,5099.1,TRUE
28,blue-collar,married,professional,yes,no,may,cell,573,7,999,1,-1.8,92.893,-46.2,1.281,5099.1,FALSE
33,technician,married,professional,no,no,nov,cell,45,2,999,1,-0.1,93.2,-42,4.153,5195.8,FALSE
46,services,married,high,no,yes,jul,cell,306,1,999,0,1.4,93.918,-42.7,4.96,5228.1,FALSE
37,technician,single,professional,yes,no,aug,cell,101,2,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
50,admin,single,university,no,no,may,phone,101,3,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
42,admin,married,university,no,no,may,phone,193,1,999,0,1.1,93.994,-36.4,4.855,5191,FALSE
53,blue-collar,married,primary,no,no,may,phone,178,1,999,0,1.1,93.994,-36.4,4.855,5191,FALSE
33,technician,married,professional,unknown,unknown,aug,cell,946,2,999,0,1.4,93.444,-36.1,4.963,5228.1,TRUE
29,admin,single,high,no,no,jul,phone,28,1,999,0,-1.7,94.215,-40.3,0.782,4991.6,FALSE
20,entrepreneur,single,high,no,no,may,phone,238,1,999,0,1.1,93.994,-36.4,4.855,5191,FALSE
49,technician,divorced,university,yes,yes,may,phone,297,8,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
35,management,married,university,no,no,jul,cell,130,1,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
32,blue-collar,married,primary,yes,no,jul,cell,51,2,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
41,services,divorced,high,yes,no,may,cell,380,4,999,1,-1.8,92.893,-46.2,1.313,5099.1,FALSE
28,management,single,university,yes,no,sep,cell,76,1,999,0,-3.4,92.379,-29.8,0.819,5017.5,FALSE
38,admin,married,university,no,no,aug,cell,89,2,999,0,1.4,93.444,-36.1,4.968,5228.1,FALSE
40,admin,single,high,yes,no,jun,phone,136,4,999,0,1.4,94.465,-41.8,4.865,5228.1,FALSE
49,management,married,university,no,no,jun,phone,216,2,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
27,blue-collar,single,primary,yes,no,jul,cell,225,1,999,0,1.4,93.918,-42.7,4.968,5228.1,FALSE
46,admin,married,primary,no,no,apr,cell,278,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,TRUE
31,student,single,unknown,no,yes,may,cell,63,3,999,0,-1.8,92.893,-46.2,1.354,5099.1,FALSE
26,blue-collar,married,middle,yes,no,may,cell,256,1,999,0,-1.8,92.893,-46.2,1.291,5099.1,FALSE
32,management,single,university,no,no,jun,cell,257,2,3,1,-2.9,92.963,-40.8,1.281,5076.2,TRUE
57,retired,married,university,yes,no,jul,cell,322,11,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
88,retired,divorced,primary,no,no,mar,cell,203,2,999,0,-1.8,92.843,-50,1.663,5099.1,TRUE
49,blue-collar,married,middle,yes,no,jul,phone,333,1,999,0,1.4,93.918,-42.7,4.959,5228.1,FALSE
45,technician,married,university,no,no,jun,phone,79,3,999,0,1.4,94.465,-41.8,4.865,5228.1,FALSE
25,admin,single,high,no,no,apr,cell,178,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,FALSE
48,entrepreneur,married,university,yes,no,jul,cell,207,1,999,0,1.4,93.918,-42.7,4.968,5228.1,FALSE
25,unemployed,married,high,unknown,unknown,jul,cell,147,10,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
33,admin,married,professional,no,no,jun,phone,110,4,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
46,services,married,university,no,no,aug,cell,246,3,999,0,1.4,,-36.1,4.966,5228.1,FALSE
40,technician,married,middle,yes,no,may,phone,34,3,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
40,blue-collar,married,middle,yes,no,nov,cell,70,1,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
40,admin,married,high,yes,yes,jul,cell,615,2,999,0,1.4,93.918,-42.7,4.96,5228.1,TRUE
33,admin,married,university,yes,no,nov,cell,82,3,999,0,-0.1,93.2,-42,4.021,5195.8,FALSE
25,student,single,high,yes,yes,may,cell,412,5,999,0,-1.8,92.893,-46.2,1.244,5099.1,FALSE
61,retired,married,university,no,no,aug,phone,249,2,3,1,-2.9,92.201,-31.4,0.859,5076.2,TRUE
52,blue-collar,married,primary,yes,no,jun,phone,160,1,999,0,1.4,94.465,-41.8,4.967,5228.1,FALSE
46,blue-collar,married,high,yes,no,may,cell,675,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,FALSE
36,admin,single,university,yes,no,oct,cell,113,1,2,2,-3.4,92.431,-26.9,0.742,5017.5,FALSE
32,services,single,unknown,yes,no,may,cell,189,3,999,0,-1.8,92.893,-46.2,1.25,5099.1,FALSE
28,admin,single,unknown,yes,no,may,phone,279,2,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
68,retired,divorced,high,yes,no,oct,cell,130,4,999,2,-1.1,94.601,-49.5,1,4963.6,FALSE
29,self-employed,married,university,no,no,mar,cell,74,1,999,0,-1.8,92.843,-50,1.663,5099.1,FALSE
57,services,divorced,unknown,no,no,may,cell,405,3,999,0,-1.8,92.893,-46.2,1.313,5099.1,FALSE
55,blue-collar,married,middle,yes,no,may,phone,212,2,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
38,admin,married,university,no,yes,jun,phone,346,2,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
33,self-employed,married,university,yes,no,jun,phone,271,1,999,0,1.4,94.465,-41.8,4.866,5228.1,FALSE
55,management,married,professional,yes,no,nov,cell,223,2,999,0,-0.1,93.2,-42,4.12,5195.8,FALSE
32,admin,single,university,yes,no,jun,cell,369,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,FALSE
81,retired,divorced,primary,yes,no,oct,cell,158,1,999,1,-1.1,94.601,-49.5,0.987,4963.6,FALSE
36,admin,married,university,no,no,aug,cell,28,13,999,0,1.4,93.444,-36.1,4.963,5228.1,FALSE
33,admin,married,university,yes,no,mar,cell,278,8,999,0,-1.8,92.843,-50,1.548,5099.1,TRUE
26,housemaid,married,university,no,no,jun,phone,181,2,999,0,1.4,94.465,-41.8,4.866,5228.1,FALSE
34,technician,divorced,professional,yes,no,aug,cell,207,1,999,0,1.4,93.444,-36.1,4.963,5228.1,FALSE
49,management,married,university,yes,no,jun,phone,41,1,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
52,technician,married,middle,yes,no,nov,cell,54,1,999,0,-0.1,93.2,-42,4.153,5195.8,FALSE
35,technician,married,professional,no,no,apr,cell,225,2,999,0,-1.8,93.075,-47.1,1.415,5099.1,FALSE
45,blue-collar,divorced,middle,yes,no,may,phone,281,4,999,0,1.1,93.994,-36.4,4.864,5191,FALSE
35,admin,single,university,no,yes,aug,phone,91,1,999,0,1.4,93.444,-36.1,4.966,5228.1,FALSE
29,technician,single,professional,no,no,aug,cell,185,4,999,0,1.4,93.444,-36.1,4.964,5228.1,FALSE
37,unemployed,married,university,no,no,jun,phone,198,1,999,0,-1.7,94.055,-39.8,0.754,4991.6,TRUE
60,housemaid,married,primary,no,no,aug,cell,148,8,999,0,1.4,,-36.1,4.964,5228.1,FALSE
41,blue-collar,divorced,high,yes,no,apr,cell,111,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,FALSE
41,technician,married,middle,yes,no,nov,cell,348,3,999,0,-0.1,93.2,-42,4.076,5195.8,FALSE
39,admin,single,high,unknown,unknown,aug,cell,125,1,999,0,1.4,93.444,-36.1,4.968,5228.1,FALSE
58,retired,divorced,middle,yes,no,nov,phone,248,1,999,0,-0.1,93.2,-42,4.406,5195.8,TRUE
52,housemaid,single,university,no,no,jul,cell,188,3,999,0,1.4,93.918,-42.7,4.958,5228.1,FALSE
47,blue-collar,married,professional,yes,yes,jul,cell,330,4,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
44,admin,married,university,yes,no,aug,cell,36,1,999,0,1.4,93.444,-36.1,4.968,5228.1,FALSE
35,technician,single,professional,yes,no,aug,cell,114,1,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
40,admin,divorced,university,yes,no,jul,cell,56,3,999,0,1.4,93.918,-42.7,4.961,5228.1,FALSE
47,retired,married,primary,unknown,unknown,nov,phone,70,1,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
38,self-employed,married,unknown,yes,no,may,phone,118,1,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
53,technician,married,professional,yes,no,aug,cell,70,4,999,0,1.4,93.444,-36.1,4.962,5228.1,FALSE
57,admin,married,university,no,yes,jun,phone,253,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
42,admin,single,university,yes,no,jul,cell,719,2,999,0,1.4,93.918,-42.7,4.96,5228.1,TRUE
30,management,married,university,yes,no,jul,cell,124,3,999,0,1.4,93.918,-42.7,4.96,5228.1,FALSE
53,admin,married,university,yes,no,may,phone,118,1,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
39,blue-collar,single,middle,yes,no,apr,cell,340,1,999,0,-1.8,93.075,-47.1,1.483,5099.1,FALSE
39,blue-collar,married,primary,no,yes,jul,cell,122,1,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
36,technician,married,high,no,no,nov,cell,187,1,999,1,-0.1,93.2,-42,4.12,5195.8,FALSE
47,management,married,high,no,no,may,cell,282,1,999,0,-1.8,92.893,-46.2,1.27,5099.1,FALSE
36,technician,single,professional,no,no,aug,cell,345,3,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
42,services,married,high,yes,no,jun,phone,174,1,999,0,1.4,94.465,-41.8,4.967,5228.1,FALSE
34,blue-collar,married,professional,yes,no,jun,phone,38,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
36,services,single,primary,yes,no,may,phone,210,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
34,admin,single,high,yes,no,nov,cell,725,2,8,2,-3.4,92.649,-30.1,0.722,5017.5,FALSE
49,blue-collar,married,middle,no,no,may,phone,27,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
36,housemaid,married,primary,no,no,jul,cell,262,4,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
41,blue-collar,married,professional,no,no,nov,cell,124,1,999,0,-0.1,93.2,-42,4.153,5195.8,FALSE
44,entrepreneur,married,university,no,no,nov,cell,88,2,999,0,-0.1,93.2,-42,4.021,5195.8,FALSE
34,unemployed,single,university,no,no,nov,cell,464,5,999,1,-3.4,92.649,-30.1,0.716,5017.5,TRUE
33,blue-collar,married,primary,no,no,may,cell,467,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,TRUE
47,technician,married,professional,yes,no,aug,cell,506,1,999,0,1.4,93.444,-36.1,4.97,5228.1,FALSE
39,blue-collar,married,middle,no,yes,apr,cell,393,6,999,0,-1.8,93.075,-47.1,1.445,5099.1,FALSE
37,blue-collar,married,high,yes,no,apr,cell,196,2,999,1,-1.8,93.075,-47.1,1.405,5099.1,FALSE
43,unemployed,divorced,middle,no,no,jul,cell,117,2,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
41,unemployed,married,high,no,no,sep,cell,182,1,6,3,-1.1,94.199,-37.5,0.879,4963.6,TRUE
88,retired,divorced,primary,yes,no,mar,cell,101,1,999,0,-1.8,92.843,-50,1.663,5099.1,TRUE
41,admin,single,high,no,no,may,cell,722,4,999,0,-1.8,92.893,-46.2,1.244,5099.1,TRUE
33,services,married,university,no,no,jun,phone,254,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
36,admin,single,university,yes,no,nov,cell,152,1,999,0,-0.1,93.2,-42,4.12,5195.8,FALSE
39,admin,married,high,yes,no,apr,cell,110,1,999,0,-1.8,93.075,-47.1,1.498,5099.1,FALSE
39,admin,single,university,no,no,may,phone,391,2,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
56,blue-collar,married,middle,yes,no,jul,cell,125,1,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
33,services,married,high,yes,no,nov,cell,307,3,999,0,-0.1,93.2,-42,4.12,5195.8,FALSE
48,admin,divorced,university,yes,no,aug,cell,122,6,999,0,1.4,93.444,-36.1,4.962,5228.1,FALSE
36,services,married,high,unknown,unknown,may,phone,262,4,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
48,technician,divorced,professional,yes,no,nov,cell,89,1,999,1,-0.1,93.2,-42,4.076,5195.8,FALSE
40,admin,single,university,yes,no,jun,phone,176,2,999,0,1.4,94.465,-41.8,4.864,5228.1,FALSE
33,technician,married,university,yes,no,jul,cell,42,1,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
33,admin,single,university,yes,yes,jun,phone,553,1,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
28,services,single,high,yes,yes,may,cell,6,5,999,0,-1.8,92.893,-46.2,1.291,5099.1,FALSE
27,admin,married,high,yes,no,may,phone,210,2,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
30,services,single,unknown,no,yes,may,phone,154,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
41,management,married,university,no,yes,may,cell,35,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,FALSE
44,blue-collar,married,middle,no,no,may,cell,181,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,FALSE
59,admin,married,high,yes,yes,may,phone,118,4,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
46,entrepreneur,married,university,yes,yes,nov,cell,78,2,999,1,-0.1,93.2,-42,4.191,5195.8,FALSE
41,admin,married,university,yes,no,dec,cell,500,1,999,0,-3,92.713,-33,0.707,5023.5,TRUE
41,blue-collar,divorced,middle,yes,no,nov,phone,32,2,999,0,-0.1,93.2,-42,4.153,5195.8,FALSE
35,management,married,university,yes,no,aug,cell,284,1,999,0,1.4,93.444,-36.1,4.966,5228.1,FALSE
26,management,single,university,yes,no,may,cell,667,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,TRUE
35,self-employed,single,university,yes,no,jul,cell,288,2,999,0,1.4,93.918,-42.7,4.963,5228.1,FALSE
34,services,divorced,professional,yes,no,jun,phone,339,1,999,0,1.4,94.465,-41.8,4.866,5228.1,FALSE
31,blue-collar,married,primary,yes,no,may,phone,650,1,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
31,admin,married,high,yes,yes,jun,phone,118,4,999,0,1.4,94.465,-41.8,4.967,5228.1,FALSE
25,blue-collar,married,middle,no,no,jun,phone,71,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
33,blue-collar,single,high,yes,no,mar,cell,203,4,999,1,-1.8,92.843,-50,1.602,5099.1,TRUE
40,blue-collar,married,middle,yes,no,may,cell,337,3,999,0,-1.8,92.893,-46.2,1.344,5099.1,FALSE
43,management,married,university,yes,yes,apr,cell,307,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,FALSE
33,admin,single,high,yes,no,aug,cell,195,1,999,0,1.4,93.444,-36.1,4.963,5228.1,FALSE
33,management,married,high,yes,no,may,phone,202,1,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
56,technician,divorced,university,yes,no,jul,cell,227,1,999,0,1.4,93.918,-42.7,4.968,5228.1,FALSE
50,blue-collar,divorced,primary,no,no,jun,phone,222,2,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
50,blue-collar,married,unknown,no,no,jul,cell,59,1,999,0,1.4,93.918,-42.7,4.958,5228.1,FALSE
34,technician,married,professional,no,no,aug,cell,187,1,999,0,1.4,93.444,-36.1,4.965,5228.1,FALSE
42,unemployed,married,high,yes,no,nov,cell,154,2,999,0,-0.1,93.2,-42,4.153,5195.8,FALSE
36,admin,married,university,no,no,nov,cell,254,2,999,0,-1.1,94.767,-50.8,1.028,4963.6,FALSE
52,blue-collar,married,high,no,no,aug,cell,161,4,999,0,1.4,93.444,-36.1,4.966,5228.1,FALSE
26,management,single,university,no,no,may,cell,715,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,TRUE
43,technician,divorced,professional,yes,no,may,phone,193,5,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
42,management,married,university,yes,no,nov,cell,178,1,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
37,blue-collar,single,professional,no,no,may,cell,54,1,999,0,-1.8,92.893,-46.2,1.264,5099.1,FALSE
52,entrepreneur,married,high,yes,no,jun,phone,273,1,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
34,technician,married,university,yes,no,nov,cell,686,1,999,0,-0.1,93.2,-42,4.12,5195.8,TRUE
35,admin,married,high,yes,yes,may,phone,159,10,999,0,-1.8,92.893,-46.2,1.354,5099.1,FALSE
32,admin,single,unknown,yes,yes,may,cell,38,7,999,1,-1.8,92.893,-46.2,1.25,5099.1,FALSE
